op_name,b,s,h,M,K,N,time_ms
q_proj,1,256,2048,256,2048,2048,0.094301
k_proj,1,256,2048,256,2048,2048,0.093758
v_proj,1,256,2048,256,2048,2048,0.102200
o_proj,1,256,2048,256,2048,2048,0.093535
ffn_up,1,256,2048,256,2048,8192,0.309143
ffn_gate,1,256,2048,256,2048,8192,0.307652
ffn_down,1,256,2048,256,8192,2048,0.312202
q_proj,1,256,4096,256,4096,4096,0.305665
k_proj,1,256,4096,256,4096,4096,0.307891
v_proj,1,256,4096,256,4096,4096,0.314829
o_proj,1,256,4096,256,4096,4096,0.313748
ffn_up,1,256,4096,256,4096,16384,1.089409
ffn_gate,1,256,4096,256,4096,16384,1.097571
ffn_down,1,256,4096,256,16384,4096,1.107654
q_proj,1,512,2048,512,2048,2048,0.175978
k_proj,1,512,2048,512,2048,2048,0.172548
v_proj,1,512,2048,512,2048,2048,0.168983
o_proj,1,512,2048,512,2048,2048,0.184040
ffn_up,1,512,2048,512,2048,8192,0.590691
ffn_gate,1,512,2048,512,2048,8192,0.577142
ffn_down,1,512,2048,512,8192,2048,0.576978
q_proj,1,512,4096,512,4096,4096,0.591211
k_proj,1,512,4096,512,4096,4096,0.592154
v_proj,1,512,4096,512,4096,4096,0.586127
o_proj,1,512,4096,512,4096,4096,0.586763
ffn_up,1,512,4096,512,4096,16384,2.159291
ffn_gate,1,512,4096,512,4096,16384,2.189303
ffn_down,1,512,4096,512,16384,4096,2.303180
q_proj,1,1024,2048,1024,2048,2048,0.325208
k_proj,1,1024,2048,1024,2048,2048,0.309938
v_proj,1,1024,2048,1024,2048,2048,0.302004
o_proj,1,1024,2048,1024,2048,2048,0.304972
ffn_up,1,1024,2048,1024,2048,8192,1.082982
ffn_gate,1,1024,2048,1024,2048,8192,1.087943
ffn_down,1,1024,2048,1024,8192,2048,1.074615
q_proj,1,1024,4096,1024,4096,4096,1.074607
k_proj,1,1024,4096,1024,4096,4096,1.091065
v_proj,1,1024,4096,1024,4096,4096,1.092980
o_proj,1,1024,4096,1024,4096,4096,1.124724
ffn_up,1,1024,4096,1024,4096,16384,4.367950
ffn_gate,1,1024,4096,1024,4096,16384,4.278753
ffn_down,1,1024,4096,1024,16384,4096,4.541302
q_proj,1,2048,2048,2048,2048,2048,0.580733
k_proj,1,2048,2048,2048,2048,2048,0.553411
v_proj,1,2048,2048,2048,2048,2048,0.546248
o_proj,1,2048,2048,2048,2048,2048,0.551942
ffn_up,1,2048,2048,2048,2048,8192,2.119457
ffn_gate,1,2048,2048,2048,2048,8192,2.196674
ffn_down,1,2048,2048,2048,8192,2048,2.253773
q_proj,1,2048,4096,2048,4096,4096,2.166082
k_proj,1,2048,4096,2048,4096,4096,2.106494
v_proj,1,2048,4096,2048,4096,4096,2.139993
o_proj,1,2048,4096,2048,4096,4096,2.158606
ffn_up,1,2048,4096,2048,4096,16384,8.496680
ffn_gate,1,2048,4096,2048,4096,16384,8.428165
ffn_down,1,2048,4096,2048,16384,4096,8.656499
q_proj,1,4096,2048,4096,2048,2048,1.097385
k_proj,1,4096,2048,4096,2048,2048,1.076927
v_proj,1,4096,2048,4096,2048,2048,1.079975
o_proj,1,4096,2048,4096,2048,2048,1.076672
ffn_up,1,4096,2048,4096,2048,8192,4.228206
ffn_gate,1,4096,2048,4096,2048,8192,4.287649
ffn_down,1,4096,2048,4096,8192,2048,4.304079
q_proj,1,4096,4096,4096,4096,4096,4.353515
k_proj,1,4096,4096,4096,4096,4096,4.330279
v_proj,1,4096,4096,4096,4096,4096,4.350726
o_proj,1,4096,4096,4096,4096,4096,4.313355
ffn_up,1,4096,4096,4096,4096,16384,17.250367
ffn_gate,1,4096,4096,4096,4096,16384,17.605351
ffn_down,1,4096,4096,4096,16384,4096,17.889326
q_proj,2,256,2048,512,2048,2048,0.196781
k_proj,2,256,2048,512,2048,2048,0.184627
v_proj,2,256,2048,512,2048,2048,0.187935
o_proj,2,256,2048,512,2048,2048,0.179836
ffn_up,2,256,2048,512,2048,8192,0.602179
ffn_gate,2,256,2048,512,2048,8192,0.575533
ffn_down,2,256,2048,512,8192,2048,0.575384
q_proj,2,256,4096,512,4096,4096,0.577753
k_proj,2,256,4096,512,4096,4096,0.573817
v_proj,2,256,4096,512,4096,4096,0.572232
o_proj,2,256,4096,512,4096,4096,0.583310
ffn_up,2,256,4096,512,4096,16384,2.241155
ffn_gate,2,256,4096,512,4096,16384,2.318838
ffn_down,2,256,4096,512,16384,4096,2.373319
q_proj,2,512,2048,1024,2048,2048,0.333086
